Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV4_1_Residual,256,10985,1.44366e+07,18.2707,1265.58,5.77324e+07,3002.72,32,448.327,512,9,1536,6,1,1,200704,1024,1.39024e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 150784, 150784, 1024, 1.33107, 200704, 200704, 200704, 200704, 1, 8, 16, 14, 8, 8, 8, 1, 1, 1, 256, 0.5
Resnet50,CONV4_2_1,256,2809865,1.97254e+09,18.2857,9.27011,5.77324e+07,3002.72,32,448.001,512,9,1026,6,1,1,200704,262144,2.60478e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 38600704, 38600704, 262144, 1.33107, 51380224, 51380224, 50176, 200704, 1, 8, 16, 14, 1, 1, 1, 1, 1, 1, 256, 0.5
Resnet50,CONV4_2_2,256,1032265,1.13324e+09,82.2799,72.6058,5.77324e+07,3002.72,32,896.062,4608,9,9218,54,1,1,50176,589824,7.49484e+07,84934656,2816.18,56.5248,4,126.019,84934656, 32442624, 32442624, 50176, 2.618, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 36864, 1, 24, 144, 28, 1, 1, 1, 1, 1, 1, 256, 3
Resnet50,CONV4_2_3,256,1605641,1.26319e+09,31.9998,25.3326,5.77324e+07,3002.72,32,256.001,512,9,1026,6,1,1,50176,262144,4.0675e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51118336, 51118336, 50176, 1.00512, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 200704, 1, 8, 16, 8, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV4_2_Residual,256,10985,1.44366e+07,18.2707,1265.58,5.77324e+07,3002.72,32,448.327,512,9,1536,6,1,1,200704,1024,1.39024e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 150784, 150784, 1024, 1.33107, 200704, 200704, 200704, 200704, 1, 8, 16, 14, 8, 8, 8, 1, 1, 1, 256, 0.5
Resnet50,CONV4_3_1,256,2809865,1.97254e+09,18.2857,9.27011,5.77324e+07,3002.72,32,448.001,512,9,1026,6,1,1,200704,262144,2.60478e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 38600704, 38600704, 262144, 1.33107, 51380224, 51380224, 50176, 200704, 1, 8, 16, 14, 1, 1, 1, 1, 1, 1, 256, 0.5
Resnet50,CONV4_3_2,256,1032265,1.13324e+09,82.2799,72.6058,5.77324e+07,3002.72,32,896.062,4608,9,9218,54,1,1,50176,589824,7.49484e+07,84934656,2816.18,56.5248,4,126.019,84934656, 32442624, 32442624, 50176, 2.618, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 36864, 1, 24, 144, 28, 1, 1, 1, 1, 1, 1, 256, 3
Resnet50,CONV4_3_3,256,1605641,1.26319e+09,31.9998,25.3326,5.77324e+07,3002.72,32,256.001,512,9,1026,6,1,1,50176,262144,4.0675e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51118336, 51118336, 50176, 1.00512, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 200704, 1, 8, 16, 8, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV4_3_Residual,256,10985,1.44366e+07,18.2707,1265.58,5.77324e+07,3002.72,32,448.327,512,9,1536,6,1,1,200704,1024,1.39024e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 150784, 150784, 1024, 1.33107, 200704, 200704, 200704, 200704, 1, 8, 16, 14, 8, 8, 8, 1, 1, 1, 256, 0.5
Resnet50,CONV4_4_1,256,2809865,1.97254e+09,18.2857,9.27011,5.77324e+07,3002.72,32,448.001,512,9,1026,6,1,1,200704,262144,2.60478e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 38600704, 38600704, 262144, 1.33107, 51380224, 51380224, 50176, 200704, 1, 8, 16, 14, 1, 1, 1, 1, 1, 1, 256, 0.5
